City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
129,Praia,CV,14.9215,-23.5087,82.94,42,0,19.57,clear sky
130,San Cristobal,VE,7.7669,-72.225,71.78,41,55,4.56,broken clouds
131,East London,ZA,-33.0153,27.9116,76.14,78,20,8.05,few clouds
132,Ilhabela,BR,-23.7781,-45.3581,78.94,68,71,5.64,broken clouds
133,Pevek,RU,69.7008,170.3133,-31.7,99,100,6.4,overcast clouds
134,Camacha,PT,33.0833,-16.3333,63.82,88,20,9.22,few clouds
135,Ancud,CL,-41.8697,-73.8203,58.53,44,4,8.41,clear sky
136,Yakeshi,CN,49.2833,120.7333,6.64,96,100,6.42,light snow
137,Saint-Francois,FR,46.4154,3.9054,55.67,65,0,2.3,clear sky
138,Marawi,PH,7.9986,124.2928,67.64,97,100,1.5,overcast clouds
139,Cairns,AU,-16.9167,145.7667,77.07,92,40,0.0,scattered clouds
140,Zaozerne,UA,45.1582,33.2787,43.95,81,100,9.86,overcast clouds
141,Kavaratti,IN,10.5669,72.642,79.97,71,64,11.48,broken clouds
142,Sao Joao Da Barra,BR,-21.6403,-41.0511,78.89,92,100,7.36,overcast clouds
143,Zhangjiakou,CN,40.81,114.8794,24.12,59,10,5.66,light snow
144,Nortelandia,BR,-14.4547,-56.8028,84.36,69,52,3.56,broken clouds
145,Parati,BR,-23.2178,-44.7131,86.9,72,92,4.74,overcast clouds
146,Lockhart,US,28.6194,-81.4426,63.99,55,0,5.75,clear sky
147,Inhambane,MZ,-23.865,35.3833,85.98,66,20,9.22,few clouds
148,Shannon,IE,52.7039,-8.8642,46.4,61,20,6.91,few clouds
149,Aksarka,RU,66.5606,67.7975,13.26,92,100,18.88,overcast clouds
150,Kavieng,PG,-2.5744,150.7967,80.91,80,100,7.27,light rain
151,Ulaangom,MN,49.9811,92.0667,-23.15,89,79,4.32,broken clouds
152,Senno,RU,59.5336,33.9167,30.15,86,99,11.59,overcast clouds
153,Ocos,GT,14.5094,-92.1933,86.72,59,0,3.87,clear sky
154,Yulara,AU,-25.2406,130.9889,80.44,34,0,8.05,clear sky
155,Palmer,US,42.1584,-72.3287,47.19,81,81,4.0,broken clouds
156,Oussouye,SN,12.485,-16.5469,100.58,15,8,4.59,clear sky
157,Avera,US,33.194,-82.5271,59.7,50,2,6.46,clear sky
158,Sicamous,CA,50.8331,-118.9856,37.11,100,100,1.5,overcast clouds
159,Chokurdakh,RU,70.6333,147.9167,-24.34,95,91,8.93,overcast clouds
160,Zheshart,RU,62.0731,49.5733,24.62,93,100,9.93,overcast clouds
161,Naryan-Mar,RU,67.6713,53.087,23.09,90,100,22.37,overcast clouds
162,Port-Gentil,GA,-0.7193,8.7815,84.16,84,75,10.36,broken clouds
163,Owando,CG,-0.4819,15.8999,98.33,21,96,1.81,overcast clouds
164,Marsa Matruh,EG,31.3525,27.2453,57.4,54,40,13.8,scattered clouds
165,Yar-Sale,RU,66.8333,70.8333,8.6,90,69,19.93,broken clouds
166,Saint-Augustin,CA,51.226,-58.6502,22.53,88,100,5.61,overcast clouds
167,Iqaluit,CA,63.7506,-68.5145,-15.07,76,100,2.3,light snow
168,Nome,US,64.5011,-165.4064,-16.53,69,40,3.44,scattered clouds
169,Shetpe,KZ,44.1667,52.1167,36.32,94,100,16.37,overcast clouds
170,Pisco,PE,-13.7,-76.2167,76.01,78,0,8.05,clear sky
171,Ostrovnoy,RU,68.0531,39.5131,26.49,85,100,20.51,overcast clouds
172,Longyearbyen,SJ,78.2186,15.6401,22.84,74,75,11.5,broken clouds
173,Harper,LR,4.375,-7.7169,83.86,72,42,10.8,scattered clouds
174,Saint Anthony,US,45.0205,-93.218,17.15,79,40,8.05,scattered clouds
175,Tabou,CI,4.423,-7.3528,83.79,71,57,10.96,broken clouds
176,Mehamn,NO,71.0357,27.8492,22.91,90,81,6.98,broken clouds
177,Camana,PE,-16.6228,-72.7111,74.48,64,61,8.66,broken clouds
178,Monrovia,LR,6.3005,-10.7969,91.17,66,4,13.4,clear sky
179,Vanimo,PG,-2.6741,141.3028,79.77,83,100,1.72,overcast clouds
180,Lebu,CL,-37.6167,-73.65,61.38,58,25,24.99,scattered clouds
181,Port Hedland,AU,-20.3167,118.5667,84.25,84,18,5.75,few clouds
182,Necochea,AR,-38.5473,-58.7368,84.04,39,24,16.33,few clouds
183,Bilma,NE,18.6853,12.9164,77.4,10,0,2.57,clear sky
184,Esperance,AU,-33.8667,121.9,73.24,56,73,23.64,broken clouds
185,Georgetown,MY,5.4112,100.3354,80.89,84,20,3.44,few clouds
186,Kirksville,US,40.1948,-92.5833,29.12,79,40,5.75,scattered clouds
187,Airai,TL,-8.9266,125.4092,61.07,97,100,1.05,overcast clouds
188,Campo Grande,BR,-20.4428,-54.6464,87.35,42,75,10.36,broken clouds
189,Kahului,US,20.8947,-156.47,70.84,78,0,6.91,clear sky
190,Husavik,IS,66.0449,-17.3389,28.31,81,79,12.66,broken clouds
191,Xuddur,SO,4.1213,43.8894,83.89,25,32,10.69,scattered clouds
192,Hithadhoo,MV,-0.6,73.0833,82.2,68,100,7.29,overcast clouds
193,Tilichiki,RU,60.4667,166.1,-15.14,78,12,7.23,few clouds
194,Vila,PT,42.0304,-8.1588,54.73,65,100,4.18,overcast clouds
195,Cape Canaveral,US,28.4058,-80.6048,66.06,67,0,10.36,clear sky
196,Banikoara,BJ,11.2985,2.4386,96.3,7,4,8.25,clear sky
197,Geraldton,AU,-28.7667,114.6,72.01,83,0,5.75,clear sky
198,Sao Filipe,CV,14.8961,-24.4956,79.97,49,100,8.95,overcast clouds
199,Katobu,ID,-4.9408,122.5276,75.18,93,100,3.02,overcast clouds
200,Namie,JP,37.4833,141.0,35.71,92,100,14.97,light snow
201,Indramayu,ID,-6.3264,108.32,80.69,80,100,13.47,moderate rain
202,Aswan,EG,24.0934,32.907,65.5,24,0,10.36,clear sky
