City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
199,Kruisfontein,ZA,2022-02-02 22:06:46,-34.0033,24.7314,69.89,92,100,6.93
200,Cabo San Lucas,MX,2022-02-02 22:06:28,22.8909,-109.9124,77.61,55,20,4.0
201,Bowling Green,US,2022-02-02 22:09:01,36.9903,-86.4436,49.93,94,100,10.36
202,Batsfjord,NO,2022-02-02 22:08:32,70.6345,29.7185,23.22,86,75,3.44
203,Dryden,CA,2022-02-02 22:09:03,49.7833,-92.7503,-9.11,77,100,12.66
204,Flinders,AU,2022-02-02 22:09:03,-34.5833,150.8552,68.18,70,80,11.99
205,Noumea,NC,2022-02-02 22:09:03,-22.2763,166.4572,82.38,66,77,9.4
206,Hokitika,NZ,2022-02-02 22:09:04,-42.7167,170.9667,66.13,98,100,15.46
207,Iskateley,RU,2022-02-02 22:09:04,67.6803,53.1512,7.38,96,100,7.52
208,Hamilton,US,2022-02-02 22:07:01,39.1834,-84.5333,45.23,94,100,0.0
209,Naze,JP,2022-02-02 22:06:53,28.3667,129.4833,56.32,90,100,23.0
210,Kafue,ZM,2022-02-02 22:09:04,-15.7691,28.1814,66.4,97,3,3.15
211,Yurimaguas,PE,2022-02-02 22:09:05,-5.9,-76.0833,86.74,47,96,2.28
212,Road Town,VG,2022-02-02 22:09:05,18.4167,-64.6167,78.89,78,40,10.36
213,Kamiiso,JP,2022-02-02 22:09:05,41.8167,140.65,25.18,93,75,4.61
214,Carahue,CL,2022-02-02 22:09:05,-38.7,-73.1667,71.8,64,2,8.32
215,Buin,CL,2022-02-02 22:09:06,-33.7333,-70.75,85.05,35,0,11.48
216,Panama City,PA,2022-02-02 22:04:53,8.9936,-79.5197,89.92,56,74,3.0
217,Marzuq,YE,2022-02-02 22:09:06,14.4,46.4667,64.09,48,94,4.38
218,Airai,TL,2022-02-02 22:09:06,-8.9266,125.4092,60.66,89,100,2.35
219,Leeton,AU,2022-02-02 22:09:06,-34.5667,146.4,57.88,51,0,12.64
220,Oranjemund,NA,2022-02-02 22:09:07,-28.55,16.4333,67.89,86,100,5.55
221,Viedma,AR,2022-02-02 22:09:00,-40.8135,-62.9967,81.97,24,21,8.12
222,Arraial Do Cabo,BR,2022-02-02 22:06:24,-22.9661,-42.0278,75.58,88,97,6.33
223,San Patricio,US,2022-02-02 22:09:07,28.017,-97.5169,79.21,70,94,14.38
224,Komsomolskiy,UZ,2022-02-02 22:09:07,40.4272,71.7189,39.92,81,75,4.61
225,Sao Miguel Do Araguaia,BR,2022-02-02 22:09:08,-13.275,-50.1628,76.35,85,41,3.87
226,Alekseyevsk,RU,2022-02-02 22:09:08,57.8406,108.3492,1.38,98,99,3.65
227,Tabou,CI,2022-02-02 22:09:08,4.423,-7.3528,79.02,80,73,7.38
228,Ugoofaaru,MV,2022-02-02 22:10:09,5.6667,73.0,81.3,71,19,7.52
229,Goksun,TR,2022-02-02 22:10:09,38.021,36.4973,32.95,98,100,7.31
230,Okhotsk,RU,2022-02-02 22:10:09,59.3833,143.3,7.0,75,100,15.39
231,Hervey Bay,AU,2022-02-02 22:08:52,-25.2986,152.8535,78.04,80,98,12.48
232,Cabra,ES,2022-02-02 22:10:09,37.4725,-4.4421,56.39,47,44,4.09
233,Caravelas,BR,2022-02-02 22:10:10,-17.7125,-39.2481,78.42,84,100,5.35
234,Gua Musang,MY,2022-02-02 22:10:10,4.8823,101.9644,71.58,99,80,1.14
235,Bubaque,GW,2022-02-02 22:10:11,11.2833,-15.8333,77.97,85,15,13.56
236,Upernavik,GL,2022-02-02 22:10:11,72.7868,-56.1549,-5.13,69,100,7.65
237,Daru,PG,2022-02-02 22:10:11,-9.0763,143.2092,76.5,79,100,5.68
238,Tshikapa,CD,2022-02-02 22:10:12,-6.4167,20.8,70.14,98,100,2.68
239,Maraa,BR,2022-02-02 22:10:12,-1.8333,-65.3667,78.87,88,90,3.42
240,Coffs Harbour,AU,2022-02-02 22:10:12,-30.3,153.1333,73.13,94,75,14.97
241,Hatfield,GB,2022-02-02 22:10:13,51.7634,-0.2242,49.32,85,100,6.91
242,Guerrero Negro,MX,2022-02-02 22:10:13,27.9769,-114.0611,64.27,49,3,13.02
243,Kununurra,AU,2022-02-02 22:10:13,-15.7667,128.7333,75.18,94,99,3.44
244,Lebu,CL,2022-02-02 22:06:45,-37.6167,-73.65,63.72,79,45,11.01
245,San Cristobal,VE,2022-02-02 22:10:13,7.7669,-72.225,82.85,30,19,5.64
246,Port Blair,IN,2022-02-02 22:10:14,11.6667,92.75,76.71,70,83,5.82
247,Fremont,US,2022-02-02 22:08:29,37.5483,-121.9886,64.81,25,0,7.0
248,Tessalit,ML,2022-02-02 22:10:14,20.1986,1.0114,63.05,12,0,10.54
249,Victoria,HK,2022-02-02 22:07:09,22.2855,114.1577,60.94,93,100,7.0
250,Port Keats,AU,2022-02-02 22:10:14,-14.25,129.55,80.74,78,76,10.92
251,Cassilandia,BR,2022-02-02 22:10:15,-19.1133,-51.7342,74.37,91,50,5.26
252,Akhtubinsk,RU,2022-02-02 22:10:15,48.2795,46.1722,32.97,92,100,12.12
